257.65,260.72,266.96,278.33,282.87,288.01,291.19,290.45,287.15,279.1,272.08,263.16
262.62,261.57,267.28,277.82,284.35,290.83,291.77,290.65,283,280.65,270.54,262.91
258.32,261.51,264.71,271.02,281.98,287.99,288.87,286.64,284.6,281.08,267.69,260.29
259.51,262.23,266.09,275.31,285.45,286.47,290.14,287.37,282.75,278.53,266.15,262
261.26,264.62,266.7,278.39,283.25,289.26,291.39,288.96,285.52,276.04,271.65,266.01
262.92,262.41,268.92,274.23,283.37,289.1,290.56,290.64,284.91,282.27,273.53,264.52
259.6,267.63,266.37,276.5,279.77,289.57,290.35,288.61,283.65,278.32,272.35,264.43
260.38,261.73,266.06,280.09,285.51,288.52,293.56,291.87,284.84,279.93,267.64,260.46
262.12,261.94,266.18,274.57,282.45,289.78,288.66,289.24,282.97,282.5,270.74,264.37
257.1,262.72,267.9,277.05,283.04,288.36,291.75,289.17,283.49,278.58,269.91,263.81
263.44,260.65,269.17,277.45,282.77,285.63,289.56,289.1,285.17,279.99,271.31,258.66
256.65,259.91,267.78,276.3,285.51,289.25,290.65,291.35,285.37,276.63,265.63,267.12
261.5,262.76,263.33,276.77,282.77,286.97,289.82,290.13,285.27,279.25,272.04,261.73
259.81,265.64,270.04,274.55,281.7,288.58,290.24,290.13,284.7,279.95,270.24,261.98
258.04,259.98,269.18,275.57,285.8,288.05,289.21,289.42,283.37,280.27,271.65,262.39
255.22,257.84,269.22,277.67,282.51,289.47,291.65,288.55,284.97,284.38,273.66,259.64
263.97,263.62,266.65,277.15,286.03,288.55,292.05,287.93,284.13,278.52,272.47,260.6
258.6,259.4,264.27,275.1,285.58,287.54,289.32,288.53,281.83,279.58,270.63,266.54
256.81,262.65,270.4,274.64,280.96,289.64,292.76,288.42,284.58,278.68,270.04,263.33
262.12,258.38,268.71,276.49,280.34,288.53,289.59,287.67,284.55,277.98,268.86,263.93
260.23,260.63,272.42,278,282.23,288.03,290.45,289.46,285.48,280.59,270.9,262.83
260.64,263.01,266.03,278.15,284.19,284.51,290.33,291.26,284.99,277.37,270.44,264.06
257.07,260.66,266.04,277.08,283.05,289.59,292.13,290.15,285.5,280.52,270.44,262.77
256.86,261.36,266.12,275.91,281.54,290.28,288.76,288.05,285.81,282.7,270.85,263.66
256.81,259.07,265.53,273.73,285.68,287.53,289.61,289.42,284.08,276.83,270.54,260.91
262.87,263.48,273.8,276.18,281.37,289.12,290.95,290.69,284.79,282.06,271.11,262.68
260.04,260.45,267.8,277.02,281.63,286.67,291.88,288.83,281.88,278.6,272.02,266.11
261.69,262.88,265.96,273.02,285.84,288.58,291.92,289.57,282.69,280.45,273.51,263.07
258.64,266.16,267.76,278.21,282.18,290.12,291,289.63,284.03,275.97,266.79,257.63
254.25,263.37,272.24,279.22,288.64,287.62,291.88,286.89,284.73,278.75,271.16,262.82
259,259.43,267.09,275.34,284.67,287.69,289.68,289.93,286.91,278.64,270.25,260.77
255.26,257.82,268.28,274.76,281.22,287.52,290.89,288.57,285.71,277.37,270.29,266.06
260.46,260.81,266.38,277.6,285.47,287.52,291.32,289.93,284.1,276.23,271.32,262.08
261.28,265.21,270.73,277.98,282.81,288.58,290.73,290.34,284.02,277.12,273.81,264.18
255.22,261.19,267.83,274.16,286.65,285.24,291.47,288.32,284.44,279.8,270.41,266.97
263.61,267.82,270.45,274.87,280.81,288.65,293.47,292.28,286.26,278.97,272.06,257.56
259.22,268.52,265.6,278.52,281.95,289.65,290.16,291.35,283.69,280.69,271.06,263.69
259.54,261.26,271.45,278.68,285.61,286.68,290.11,288.36,284.82,278.8,267.85,257.73
261.65,262.07,269.91,279.5,285.65,288.05,291.55,287.88,284.99,278.47,268.54,265.45
264.02,267.57,272.23,279.88,285.28,290.45,292.08,289.47,285.88,275.68,273.12,267.45
259.07,259.54,268.78,277.49,286.74,290.48,292.84,291.54,285.48,276.06,272.23,263.35
264.36,258.32,265.85,275.45,283.88,287.49,291.88,290.26,285.29,279.89,268.34,257.48
266.19,263.67,270.9,278.72,282.18,289.01,290.33,289.89,285.69,278.04,273.36,263.34
259.11,265.28,270.15,279.15,286.61,290.83,290.52,290.95,283.98,277.66,268.08,264.54
264.12,266.33,268.56,275.16,284.64,286.94,287.38,287.64,284.36,278.2,269.99,264.84
261.65,262.6,269.3,274.82,283.15,287.1,290.59,290.55,282.14,276.98,269.57,265.28
255.07,260.14,270.06,276.17,284.09,290.03,290.08,288.43,286.95,280.42,273.31,267.7
263.3,262.81,270.77,273.77,283.38,291.6,291.41,292.49,284.2401,279.4,266.34,262.18
258.64,261.24,265.26,273.84,281.99,289.14,289.03,290.28,285.82,278.95,268.21,263.86
260.19,264.62,267.94,275.5,280.04,290.29,290.39,288,286.19,279.26,269.67,268.25
264.49,271.24,269.91,279.44,287.44,288.5201,291.42,291.44,288.2,280.92,273.82,267
259.94,267.2,270.28,279.05,285.88,289.7,293.07,289.69,285.47,277.92,275.3,265.6
261.07,266.31,273.72,276.38,285.21,287.62,290.36,290.25,285.03,280.92,271.71,258.67
264.52,260.83,268.32,278.28,285.01,289.39,291.35,291.56,284.91,278.58,277.12,268.67
266.43,267.66,265.77,275.93,281.18,290.12,293.85,290.49,287.08,275.96,270.23,266.5
260.62,259.84,268.35,275.63,283.32,288.44,290.94,291.85,286.35,278.65,270.91,266.72
258.33,264.8,270.51,276.78,282.28,287.47,290.19,287.33,288.43,279.81,273.33,263.67
260.45,266.51,267.48,279.53,282.5,291.97,292.46,290.87,288.1,280.97,271.77,264.35
267.98,262.55,270.19,280.32,284.88,289.55,293.39,290.46,284.06,276.47,273.21,267.82
263.83,259.79,271.53,275.8,286.02,290.4601,291.52,290.65,286.8,281.99,271.11,263.06
262.34,260.37,266.13,276.45,282.29,288.89,291.22,289.64,286.29,278.57,271.38,260.51
257,264.04,268.72,276.45,283.11,287.71,287.93,288.64,287.51,276.46,275.54,263.2
263.33,264.48,274.17,280.65,285.63,288.84,292.31,291.46,284.01,280.49,272.8,263.86
260.34,264.07,268.46,276.04,283.4,288.63,293.21,290.7101,285.26,280.98,273.48,266.83
264.34,267.63,277.93,277.87,286.15,290.29,293.62,289.94,284.66,278.22,272.26,267.49
262.98,262.17,266.3,273.24,283.86,288.44,291.35,290,286.23,279.18,270.4,259.36
256.43,257.52,263.43,274.14,284.1,289.91,289.17,289.27,285.08,278.8,266.67,265.95
261,256.21,269.19,277.48,284.46,288.13,291.01,289.54,289.07,279.49,274.65,270.62
263.48,265.68,272.71,276.13,284.17,289.14,291.31,291.39,287.52,280.74,276.25,264.29
